method,tasks,macro_acc,macro_calls,total_seconds
ours_v3plus,11,0.6581818181818182,17.55636363636364,408.97641706466675
ours_v3plus_aggressive_pubmed,11,0.6563636363636364,16.26,370.84781432151794
refinement,11,0.6581818181818182,26.916363636363634,1727.1491367816925
fixed32,11,0.6581818181818183,32.0,1848.762390613556
jys_middle16,11,0.6436363636363637,16.0,1052.214765071869
prophet,11,0.6472727272727273,30.44363636363636,1589.6698460578918
