task,step,n,accuracy,correct,avg_forward_calls,seconds,wall_seconds,empty_rate,invalid_rate,gen_length,block_length,schedule
hellaswag,16,20,0.65,13,16.0,13.707326889038086,13.728851079940796,0.0,0.0,32,32,uniform
hellaswag,20,20,0.6,12,20.0,17.139675855636597,17.161329746246338,0.0,0.0,32,32,uniform
hellaswag,24,20,0.6,12,24.0,20.56147861480713,20.583738803863525,0.0,0.0,32,32,uniform
hellaswag,28,20,0.6,12,28.0,23.993114709854126,24.01622486114502,0.0,0.0,32,32,uniform
hellaswag,32,20,0.6,12,32.0,27.441047191619873,27.465131044387817,0.0,0.0,32,32,uniform
boolq,4,20,0.5,10,4.0,3.1437292098999023,3.1632325649261475,0.25,0.0,32,32,uniform
boolq,8,20,0.65,13,8.0,6.263277530670166,6.281407356262207,0.0,0.0,32,32,uniform
boolq,12,20,0.75,15,12.0,9.398711919784546,9.41902756690979,0.0,0.0,32,32,uniform
boolq,16,20,0.75,15,16.0,12.552903175354004,12.572311162948608,0.0,0.0,32,32,uniform
boolq,20,20,0.75,15,20.0,15.713044881820679,15.732699155807495,0.0,0.0,32,32,uniform
boolq,24,20,0.75,15,24.0,18.8459951877594,18.864908456802368,0.0,0.0,32,32,uniform
boolq,28,20,0.75,15,28.0,21.99942421913147,22.01851987838745,0.0,0.0,32,32,uniform
boolq,32,20,0.75,15,32.0,25.120378732681274,25.140725135803223,0.0,0.0,32,32,uniform
gsm8k,4,20,0.2,4,4.0,2.4078450202941895,2.423090696334839,0.0,0.0,96,96,uniform
gsm8k,8,20,0.55,11,8.0,4.733065128326416,4.748335599899292,0.0,0.0,96,96,uniform
gsm8k,12,20,0.55,11,12.0,7.114535093307495,7.130831003189087,0.0,0.0,96,96,uniform
gsm8k,16,20,0.5,10,16.0,9.498512506484985,9.515947103500366,0.0,0.0,96,96,uniform
gsm8k,20,20,0.55,11,20.0,11.864712715148926,11.881862878799438,0.0,0.0,96,96,uniform
gsm8k,24,20,0.6,12,24.0,14.231993198394775,14.248823165893555,0.0,0.0,96,96,uniform
gsm8k,28,20,0.55,11,28.0,16.604544639587402,16.621532917022705,0.0,0.0,96,96,uniform
gsm8k,32,20,0.65,13,32.0,18.97589635848999,18.993175983428955,0.0,0.0,96,96,uniform
drop_span,4,20,0.0,0,4.0,5.584280729293823,5.610436916351318,0.0,0.0,96,96,uniform
drop_span,8,20,0.0,0,8.0,11.127511501312256,11.152140140533447,0.0,0.0,96,96,uniform
drop_span,12,20,0.0,0,12.0,16.71079421043396,16.736280918121338,0.0,0.0,96,96,uniform
drop_span,16,20,0.0,0,16.0,22.283737897872925,22.308666229248047,0.0,0.0,96,96,uniform
drop_span,20,20,0.0,0,20.0,27.864694595336914,27.89059853553772,0.0,0.0,96,96,uniform
drop_span,24,20,0.0,0,24.0,33.49512028694153,33.522176027297974,0.0,0.0,96,96,uniform
drop_span,28,20,0.0,0,28.0,39.082661628723145,39.109673738479614,0.0,0.0,96,96,uniform
drop_span,32,20,0.0,0,32.0,44.64530348777771,44.67429733276367,0.0,0.0,96,96,uniform
