method,task,task_label,accuracy,n,correct,wilson_lo,wilson_hi,avg_forward_calls,seconds,fallback_rate,route_rates,peak_mem_gb
32step,winogrande,WinoGrande,0.756,1000,756,0.7284330086156625,0.7816076193081056,32,1555.571481704712,,"{""fixed"": 1.0}",15.066402435302734
32step,commonsenseqa,CommonsenseQA,0.819,1000,819,0.7939299861359917,0.8416284525658911,32,1550.1630322933197,,"{""fixed"": 1.0}",15.09275484085083
old_adaptive,winogrande,WinoGrande,0.736,1000,736,0.7078132051949546,0.7623804986722691,9.363,408.45507740974426,0.011,"{""fallback"": 0.011, ""fixed"": 0.989}",15.025386333465576
old_adaptive,commonsenseqa,CommonsenseQA,0.816,1000,816,0.7907896944900147,0.8387917056033866,9.858,432.33888602256775,0.026,"{""fallback"": 0.026, ""fixed"": 0.974}",15.043051719665527
forward_aware,winogrande,WinoGrande,0.756,1000,756,0.7284330086156625,0.7816076193081056,17.56,847.7386689186096,,"{""accepted_fast"": 0.648, ""post_fallback"": 0.014, ""pre_fallback"": 0.338}",15.026233196258545
forward_aware,commonsenseqa,CommonsenseQA,0.818,1000,818,0.792882955656012,0.8406831368430436,10.824,523.5649816989899,,"{""accepted_fast"": 0.943, ""post_fallback"": 0.057}",15.043425559997559
calibrated,winogrande,WinoGrande,0.756,1000,756,0.7284330086156625,0.7816076193081056,17.56,852.3822650909424,,"{""32"": 0.338, ""8"": 0.648, ""8->32"": 0.014}",15.026233196258545
calibrated,commonsenseqa,CommonsenseQA,0.817,1000,817,0.7918361923371519,0.8397375539590765,9.064,441.9897720813751,,"{""8"": 0.998, ""8->32"": 0.002}",15.043425559997559
