method,task,task_label,accuracy,n,correct,wilson_lo,wilson_hi,avg_forward_calls,seconds,fallback_rate,route_rates,peak_mem_gb
8step,pubmedqa,PubMedQA,0.5566666666666666,300,167,0.5000863411296723,0.611814070137251,,225.85081505775452,,"{""fixed"": 1.0}",15.495072841644287
8step,ceval_computer_network,C-Eval CN,0.5847953216374269,171,100,0.5098674437588265,0.6559969729474949,,66.55040979385376,,"{""fixed"": 1.0}",15.150043487548828
32step,pubmedqa,PubMedQA,0.66,300,198,0.6046734114246599,0.7112806909760647,32,903.6043832302094,,"{""fixed"": 1.0}",15.495072841644287
32step,ceval_computer_network,C-Eval CN,0.5847953216374269,171,100,0.5098674437588265,0.6559969729474949,32,265.98377990722656,,"{""fixed"": 1.0}",15.150043487548828
calibrated,pubmedqa,PubMedQA,0.68,300,204,0.6252228520235207,0.7302255131772947,33.0,1012.3519787788391,,"{""32"": 1.0}",15.34325122833252
calibrated,ceval_computer_network,C-Eval CN,0.5847953216374269,171,100,0.5098674437588265,0.6559969729474949,33.0,274.4229528903961,,"{""32"": 1.0}",15.34325122833252
