task,task_name,step,n,accuracy,correct,seconds,peak_mem_gb,source
hellaswag,HellaSwag,4,50,0.700000,35,10.162955,16.090279,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps4_9task_limit50_seed23.json
hellaswag,HellaSwag,8,50,0.700000,35,20.375435,16.090279,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps8_9task_limit50_seed23.json
hellaswag,HellaSwag,12,50,0.740000,37,30.553476,16.090279,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps12_9task_limit50_seed23.json
hellaswag,HellaSwag,16,50,0.740000,37,40.705161,16.090279,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps16_9task_limit50_seed23.json
hellaswag,HellaSwag,20,50,0.740000,37,50.918340,16.090280,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps20_9task_limit50_seed23.json
hellaswag,HellaSwag,24,50,0.740000,37,61.010584,16.090280,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps24_9task_limit50_seed23.json
hellaswag,HellaSwag,28,50,0.740000,37,71.196628,16.090280,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps28_9task_limit50_seed23.json
hellaswag,HellaSwag,32,50,0.740000,37,81.433113,16.090280,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps32_9task_limit50_seed23.json
mmlu_pro,MMLU-Pro,4,50,0.380000,19,15.207191,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps4_9task_limit50_seed23.json
mmlu_pro,MMLU-Pro,8,50,0.400000,20,30.105847,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps8_9task_limit50_seed23.json
mmlu_pro,MMLU-Pro,12,50,0.460000,23,45.057174,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps12_9task_limit50_seed23.json
mmlu_pro,MMLU-Pro,16,50,0.460000,23,59.938276,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps16_9task_limit50_seed23.json
mmlu_pro,MMLU-Pro,20,50,0.420000,21,74.828626,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps20_9task_limit50_seed23.json
mmlu_pro,MMLU-Pro,24,50,0.420000,21,89.694793,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps24_9task_limit50_seed23.json
mmlu_pro,MMLU-Pro,28,50,0.420000,21,104.646875,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps28_9task_limit50_seed23.json
mmlu_pro,MMLU-Pro,32,50,0.420000,21,119.480966,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps32_9task_limit50_seed23.json
pubmedqa,PubMedQA,4,50,0.200000,10,16.099479,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps4_9task_limit50_seed23.json
pubmedqa,PubMedQA,8,50,0.520000,26,32.283213,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps8_9task_limit50_seed23.json
pubmedqa,PubMedQA,12,50,0.620000,31,48.399584,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps12_9task_limit50_seed23.json
pubmedqa,PubMedQA,16,50,0.620000,31,64.588862,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps16_9task_limit50_seed23.json
pubmedqa,PubMedQA,20,50,0.620000,31,80.669108,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps20_9task_limit50_seed23.json
pubmedqa,PubMedQA,24,50,0.620000,31,96.815641,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps24_9task_limit50_seed23.json
pubmedqa,PubMedQA,28,50,0.620000,31,113.008461,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps28_9task_limit50_seed23.json
pubmedqa,PubMedQA,32,50,0.620000,31,129.046742,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps32_9task_limit50_seed23.json
sciq,SciQ,4,50,0.880000,44,5.331839,15.548512,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps4_9task_limit50_seed23.json
sciq,SciQ,8,50,0.860000,43,10.661369,15.548512,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps8_9task_limit50_seed23.json
sciq,SciQ,12,50,0.860000,43,15.996088,15.548512,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps12_9task_limit50_seed23.json
sciq,SciQ,16,50,0.860000,43,21.347707,15.548512,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps16_9task_limit50_seed23.json
sciq,SciQ,20,50,0.860000,43,26.690043,15.548512,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps20_9task_limit50_seed23.json
sciq,SciQ,24,50,0.860000,43,32.003246,15.548512,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps24_9task_limit50_seed23.json
sciq,SciQ,28,50,0.860000,43,37.315932,15.548512,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps28_9task_limit50_seed23.json
sciq,SciQ,32,50,0.860000,43,42.591184,15.548512,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps32_9task_limit50_seed23.json
winogrande,WinoGrande,4,50,0.720000,36,4.890998,15.428262,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps4_9task_limit50_seed23.json
winogrande,WinoGrande,8,50,0.780000,39,9.808737,15.428262,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps8_9task_limit50_seed23.json
winogrande,WinoGrande,12,50,0.760000,38,14.711163,15.428262,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps12_9task_limit50_seed23.json
winogrande,WinoGrande,16,50,0.760000,38,19.574825,15.428262,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps16_9task_limit50_seed23.json
winogrande,WinoGrande,20,50,0.760000,38,24.452908,15.428263,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps20_9task_limit50_seed23.json
winogrande,WinoGrande,24,50,0.760000,38,29.352963,15.428263,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps24_9task_limit50_seed23.json
winogrande,WinoGrande,28,50,0.760000,38,34.257960,15.428263,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps28_9task_limit50_seed23.json
winogrande,WinoGrande,32,50,0.760000,38,39.080689,15.428263,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps32_9task_limit50_seed23.json
